# epKey/clip_id	emotion	wav, relative to --root (listen, delete non-obvious rows)
chay-tron-thanh-xuan/ep01_1/seg00030	anger	chay-tron-thanh-xuan/ep01_1/clips/seg00030.wav
chay-tron-thanh-xuan/ep01_1/seg00059	anger	chay-tron-thanh-xuan/ep01_1/clips/seg00059.wav
chay-tron-thanh-xuan/ep01_1/seg00061	anger	chay-tron-thanh-xuan/ep01_1/clips/seg00061.wav
chay-tron-thanh-xuan/ep02_2/seg00093	anger	chay-tron-thanh-xuan/ep02_2/clips/seg00093.wav
chay-tron-thanh-xuan/ep03_1/seg00049	anger	chay-tron-thanh-xuan/ep03_1/clips/seg00049.wav
ve-nha-di-con/ep01/seg00067	anger	ve-nha-di-con/ep01/clips/seg00067.wav
ve-nha-di-con/ep01/seg00106	anger	ve-nha-di-con/ep01/clips/seg00106.wav
ve-nha-di-con/ep01/seg00187	anger	ve-nha-di-con/ep01/clips/seg00187.wav
ve-nha-di-con/ep03/seg00019	anger	ve-nha-di-con/ep03/clips/seg00019.wav
chay-tron-thanh-xuan/ep01_1/seg00080	disgust	chay-tron-thanh-xuan/ep01_1/clips/seg00080.wav
chay-tron-thanh-xuan/ep01_2/seg00046	disgust	chay-tron-thanh-xuan/ep01_2/clips/seg00046.wav
chay-tron-thanh-xuan/ep01_2/seg00047	disgust	chay-tron-thanh-xuan/ep01_2/clips/seg00047.wav
chay-tron-thanh-xuan/ep02_1/seg00038	disgust	chay-tron-thanh-xuan/ep02_1/clips/seg00038.wav
chay-tron-thanh-xuan/ep02_1/seg00047	disgust	chay-tron-thanh-xuan/ep02_1/clips/seg00047.wav
chay-tron-thanh-xuan/ep02_1/seg00048	disgust	chay-tron-thanh-xuan/ep02_1/clips/seg00048.wav
chay-tron-thanh-xuan/ep02_2/seg00076	disgust	chay-tron-thanh-xuan/ep02_2/clips/seg00076.wav
chay-tron-thanh-xuan/ep02_2/seg00119	disgust	chay-tron-thanh-xuan/ep02_2/clips/seg00119.wav
chay-tron-thanh-xuan/ep03_2/seg00012	disgust	chay-tron-thanh-xuan/ep03_2/clips/seg00012.wav
chay-tron-thanh-xuan/ep02_1/seg00049	fear_anxiety	chay-tron-thanh-xuan/ep02_1/clips/seg00049.wav
chay-tron-thanh-xuan/ep02_2/seg00001	fear_anxiety	chay-tron-thanh-xuan/ep02_2/clips/seg00001.wav
chay-tron-thanh-xuan/ep03_1/seg00102	fear_anxiety	chay-tron-thanh-xuan/ep03_1/clips/seg00102.wav
chay-tron-thanh-xuan/ep03_1/seg00111	fear_anxiety	chay-tron-thanh-xuan/ep03_1/clips/seg00111.wav
ve-nha-di-con/ep01/seg00030	fear_anxiety	ve-nha-di-con/ep01/clips/seg00030.wav
ve-nha-di-con/ep01/seg00087	fear_anxiety	ve-nha-di-con/ep01/clips/seg00087.wav
ve-nha-di-con/ep01/seg00155	fear_anxiety	ve-nha-di-con/ep01/clips/seg00155.wav
ve-nha-di-con/ep01/seg00210	fear_anxiety	ve-nha-di-con/ep01/clips/seg00210.wav
ve-nha-di-con/ep03/seg00009	fear_anxiety	ve-nha-di-con/ep03/clips/seg00009.wav
chay-tron-thanh-xuan/ep01_2/seg00021	joy	chay-tron-thanh-xuan/ep01_2/clips/seg00021.wav
chay-tron-thanh-xuan/ep02_2/seg00018	joy	chay-tron-thanh-xuan/ep02_2/clips/seg00018.wav
chay-tron-thanh-xuan/ep02_2/seg00117	joy	chay-tron-thanh-xuan/ep02_2/clips/seg00117.wav
chay-tron-thanh-xuan/ep03_1/seg00007	joy	chay-tron-thanh-xuan/ep03_1/clips/seg00007.wav
chay-tron-thanh-xuan/ep03_2/seg00016	joy	chay-tron-thanh-xuan/ep03_2/clips/seg00016.wav
ve-nha-di-con/ep01/seg00110	joy	ve-nha-di-con/ep01/clips/seg00110.wav
ve-nha-di-con/ep01/seg00123	joy	ve-nha-di-con/ep01/clips/seg00123.wav
ve-nha-di-con/ep02/seg00055	joy	ve-nha-di-con/ep02/clips/seg00055.wav
ve-nha-di-con/ep02/seg00175	joy	ve-nha-di-con/ep02/clips/seg00175.wav
chay-tron-thanh-xuan/ep01_1/seg00037	neutral	chay-tron-thanh-xuan/ep01_1/clips/seg00037.wav
chay-tron-thanh-xuan/ep01_1/seg00039	neutral	chay-tron-thanh-xuan/ep01_1/clips/seg00039.wav
chay-tron-thanh-xuan/ep01_2/seg00042	neutral	chay-tron-thanh-xuan/ep01_2/clips/seg00042.wav
chay-tron-thanh-xuan/ep01_3/seg00037	neutral	chay-tron-thanh-xuan/ep01_3/clips/seg00037.wav
chay-tron-thanh-xuan/ep03_1/seg00117	neutral	chay-tron-thanh-xuan/ep03_1/clips/seg00117.wav
ve-nha-di-con/ep01/seg00003	neutral	ve-nha-di-con/ep01/clips/seg00003.wav
ve-nha-di-con/ep01/seg00079	neutral	ve-nha-di-con/ep01/clips/seg00079.wav
ve-nha-di-con/ep02/seg00062	neutral	ve-nha-di-con/ep02/clips/seg00062.wav
ve-nha-di-con/ep03/seg00004	neutral	ve-nha-di-con/ep03/clips/seg00004.wav
chay-tron-thanh-xuan/ep01_1/seg00026	sadness	chay-tron-thanh-xuan/ep01_1/clips/seg00026.wav
chay-tron-thanh-xuan/ep01_2/seg00064	sadness	chay-tron-thanh-xuan/ep01_2/clips/seg00064.wav
chay-tron-thanh-xuan/ep02_2/seg00013	sadness	chay-tron-thanh-xuan/ep02_2/clips/seg00013.wav
chay-tron-thanh-xuan/ep03_1/seg00053	sadness	chay-tron-thanh-xuan/ep03_1/clips/seg00053.wav
chay-tron-thanh-xuan/ep03_1/seg00066	sadness	chay-tron-thanh-xuan/ep03_1/clips/seg00066.wav
ve-nha-di-con/ep01/seg00085	sadness	ve-nha-di-con/ep01/clips/seg00085.wav
ve-nha-di-con/ep01/seg00086	sadness	ve-nha-di-con/ep01/clips/seg00086.wav
ve-nha-di-con/ep01/seg00132	sadness	ve-nha-di-con/ep01/clips/seg00132.wav
ve-nha-di-con/ep01/seg00150	sadness	ve-nha-di-con/ep01/clips/seg00150.wav
chay-tron-thanh-xuan/ep02_1/seg00075	surprise	chay-tron-thanh-xuan/ep02_1/clips/seg00075.wav
chay-tron-thanh-xuan/ep02_1/seg00076	surprise	chay-tron-thanh-xuan/ep02_1/clips/seg00076.wav
chay-tron-thanh-xuan/ep02_3/seg00005	surprise	chay-tron-thanh-xuan/ep02_3/clips/seg00005.wav
ve-nha-di-con/ep01/seg00017	surprise	ve-nha-di-con/ep01/clips/seg00017.wav
